id,referrer_url,heard_ea,is_ea,metaethics,cause_import_poverty,cause_import_environmentalism,cause_import_animals,cause_import_rationality,cause_import_politics,cause_import_ai,cause_import_xrisk,cause_import_non_ai_far_future,cause_import_cause_prioritization,cause_import_meta,cause_import_other,diet,first_heard_EA,invovled_personal_contact,involved_80K,involved_TLYCS,involved_lesswrong,involved_GWWC,involved_givewell,involved_friends,involved_online_ea,involved_local_EA,friendcount,donate_2013_c,income_2013_c,donate_80K,donate_amf,donate_ace,donate_cea,donate_cfar,donate_dtw,donate_gd,donate_gw,donate_gwwc,donate_thl,donate_leverage,donate_miri,donate_phc,donate_sci,donate_vo,career_path,age,gender,student,country,city,religion,ea_id
1418,http://survey.effectivealtruismhub.com/,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1419,http://survey.effectivealtruismhub.com/,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1420,http://survey.effectivealtruismhub.com/?s=14,No,No,Consequentialist/utilitarian,Yes,No,No,Yes,No,No,No,Yes,No,No,NA,Meat-eating,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1421,http://survey.effectivealtruismhub.com/?s=14,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1422,http://survey.effectivealtruismhub.com/?s=14,No,No,"No opinion, or not familiar with these terms",No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,NA,Reducing the amount of meat I eat,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,100 usd,18000 usd,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Research,25,Male,Yes,United States,NA,"Atheist, agnostic or non-religious",NA
1423,http://survey.effectivealtruismhub.com/?s=14,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1424,NA,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1425,NA,No,No,Other,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,NA,Reducing the amount of meat I eat,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1426,NA,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
1427,NA,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,N/A,NA,NA,NA,NA
