"","ea_id","id.x","is_ea.x","age.x","metaethics.x","cause_import_poverty.x","cause_import_environmentalism.x","cause_import_rationality.x","cause_import_politics.x","cause_import_ai.x","cause_import_non_ai_far_future.x","cause_import_cause_prioritization.x","cause_import_meta.x","cause_import_other.x","first_heard_EA.x","involved_80K.x","involved_TLYCS.x","involved_lesswrong.x","involved_GWWC.x","involved_givewell.x","involved_online_ea.x","involved_local_EA.x","donate_80K.x","donate_amf.x","donate_ace.x","donate_cea.x","donate_cfar.x","donate_dtw.x","donate_gd.x","donate_gw.x","donate_gwwc.x","donate_thl.x","donate_leverage.x","donate_miri.x","donate_phc.x","donate_sci.x","donate_vo.x","student.x","career_path.x","referrer_url.x","heard_ea.x","gender.x","religion.x","country.x","city.x","veg.x","cause_import_animal_welfare.x","involved_personal_contact.x","donate_2013_c","income_2013_c","id.y","is_ea.y","age.y","metaethics.y","cause_import_poverty.y","cause_import_environmentalism.y","cause_import_rationality.y","cause_import_politics.y","cause_import_ai.y","cause_import_non_ai_far_future.y","cause_import_cause_prioritization.y","cause_import_meta.y","cause_import_other.y","first_heard_EA.y","involved_80K.y","involved_TLYCS.y","involved_lesswrong.y","involved_GWWC.y","involved_givewell.y","involved_online_ea.y","involved_local_EA.y","donate_80K.y","donate_amf.y","donate_ace.y","donate_cea.y","donate_cfar.y","donate_dtw.y","donate_gd.y","donate_gw.y","donate_gwwc.y","donate_thl.y","donate_leverage.y","donate_miri.y","donate_phc.y","donate_sci.y","donate_vo.y","student.y","career_path.y","referrer_url.y","heard_ea.y","gender.y","religion.y","country.y","city.y","veg.y","cause_import_animal_welfare.y","involved_personal_contact.y","donate_2014","income_2014"
"1","05591e4078dcc5d990d12fec69a9489f",1871,"Yes","30","Consequentialist/utilitarian","Yes","No","Yes","Yes","Yes","No","No","Yes","","LessWrong","No","No","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","Yes","Research","http://survey.effectivealtruismhub.com/?s=14","Yes","Male","Jewish","United States","Los Angeles","Near vegetarian","No","No",3500,"27000","130","Yes","31",NA,"This cause is near the top priority","This cause deserves significant investment but less than the top priorities","This cause is near the top priority","This cause is the top priority","I do not think this is a priority, but I am glad some EAs are looking into it","This cause deserves significant investment but less than the top priorities","This cause is near the top priority","This cause deserves significant investment but less than the top priorities","This cause is near the top priority","LessWrong","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","None of these","http://survey.effectivealtruismhub.com/index.php/237851/lang-en?source=fbsample","Yes","Male","Jewish","USA","Other","Eat meat, but try to reduce the amount I eat","I do not think this is a priority, but I am glad some EAs are looking into it","No","10000","50000"
"2","064439bfc8714c2ceb0997ebc144bcaa",2830,"Yes","19","Consequentialist/utilitarian","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","I am bad at prioritization","80,000 Hours","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","Yes","","http://survey.effectivealtruismhub.com/?s=t-eaf-030115","Yes","Female","Atheist, agnostic or non-religious","United States","seattle","Vegetarian","Yes","No",NA,"","3177","Yes","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80,000 Hours","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes",NA,NA,"Yes","Female","Atheist, agnostic or non-religious","USA","Other","Vegetarian",NA,"No",NA,NA
"3","0c4402d3475b347b2ea1ceb979420e99",1649,"Yes","22","Consequentialist/utilitarian","Yes","No","Yes","No","No","Yes","No","Yes","","Friend","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Earning to Give","http://survey.effectivealtruismhub.com/?t~f-c","Yes","Male","Atheist, agnostic or non-religious","United Kingdom","London","Meat-eating","No","Yes",12145.39,"£28750","2497","Yes","24",NA,"This cause is near the top priority","I do not think any EA resources should be devoted to this cause","I do not think this is a priority, but I am glad some EAs are looking into it","I do not think any EA resources should be devoted to this cause","I do not think this is a priority, but I am glad some EAs are looking into it","This cause deserves significant investment but less than the top priorities","This cause is near the top priority","This cause is the top priority",NA,"Personal Contact (e.g. Friend, Colleague, Relative)","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","N/A","Earning to give","http://survey.effectivealtruismhub.com/index.php/237851/lang-en?source=LLonE","Yes","Male","Atheist, agnostic or non-religious","UK","London (UK)","Eat meat, but try to reduce the amount I eat","I do not think this is a priority, but I am glad some EAs are looking into it","No","55625","91000"
"4","168a9cf8200b84dfb98973d299e053e3",1620,"No","24","Virtue ethics","Yes","No","Yes","Yes","No","No","Yes","Yes","","Giving What We Can","No","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Earning to Give","http://survey.effectivealtruismhub.com/?p","Yes","Male","Atheist, agnostic or non-religious","United States","Richmond VA","Vegetarian","Yes","No",200,"~3000 (USD)","96","Yes","25","Realism","This cause deserves significant investment but less than the top priorities","This cause deserves significant investment but less than the top priorities","I do not think this is a priority, but I am glad some EAs are looking into it","I do not think this is a priority, but I am glad some EAs are looking into it","This cause deserves significant investment but less than the top priorities","This cause deserves significant investment but less than the top priorities","This cause is the top priority","This cause is near the top priority",NA,"LessWrong","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","N/A",NA,"http://survey.effectivealtruismhub.com/index.php/237851/lang-en?source=fbsample","Yes","Male","Atheist, agnostic or non-religious","USA","Washington DC (US)","Vegan","This cause is near the top priority","Yes","3000","20000"
"5","22207d864e30ab2d37c271fa742cb4e4",2646,"Yes","36","Other","Yes","Yes","No","Yes","No","No","Yes","Yes","","Friend","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Other","http://survey.effectivealtruismhub.com/?s=t-eaf-030115","Yes","Female","Christian","Switzerland","Bern","Vegan","Yes","Yes",NA,"70000 CHF","259","Yes","37",NA,"This cause is near the top priority","This cause deserves significant investment but less than the top priorities","This cause is near the top priority","This cause is near the top priority","This cause is near the top priority","This cause deserves significant investment but less than the top priorities","This cause is the top priority","This cause is near the top priority",NA,"Facebook","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"http://survey.effectivealtruismhub.com/index.php/237851/lang-en?source=fbsample","Yes","Female","Christian","Switzerland","Other","Vegan","This cause is near the top priority","Yes","7000","65000"
"6","24e3b9260498ae15d9301c2ddf97327b",2979,"No","","Consequentialist/utilitarian","Yes","Yes","Yes","No","No","No","No","No","","LessWrong","No","No","No","No","Yes","No","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","http://survey.effectivealtruismhub.com/","Yes","","","","","Reducing the amount of meat I eat","No","No",NA,"","3207","Yes","36","Anti-realism (error theory)","This cause is near the top priority","This cause deserves significant investment but less than the top priorities","This cause deserves significant investment but less than the top priorities","I do not think this is a priority, but I am glad some EAs are looking into it","I do not think this is a priority, but I am glad some EAs are looking into it","This cause deserves significant investment but less than the top priorities","I do not think this is a priority, but I am glad some EAs are looking into it","I do not think this is a priority, but I am glad some EAs are looking into it","I do not think this is a priority, but I am glad some EAs are looking into it","GiveWell","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","None of these",NA,"Yes","Male","Atheist, agnostic or non-religious","USA","New York (US)","Meat eater","This cause deserves significant investment but less than the top priorities","Yes","100000","10000000"
"7","282223ca8e254e6e5e2ff3fb4c18a8b0",1801,"Yes","24","Other","Yes","No","No","No","No","No","No","Yes","","Giving What We Can","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Research","http://survey.effectivealtruismhub.com/?s=14","Yes","Female","Atheist, agnostic or non-religious","United Kingdom","London","Meat-eating","No","Yes",1500,"80000","2009","Yes","26","Realism","This cause is the top priority","This cause is near the top priority","I do not think this is a priority, but I am glad some EAs are looking into it","This cause is near the top priority","I do not think this is a priority, but I am glad some EAs are looking into it","I do not think this is a priority, but I am glad some EAs are looking into it","This cause is near the top priority","This cause deserves significant investment but less than the top priorities",NA,"Giving What We Can","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Research",NA,"Yes","Female","Atheist, agnostic or non-religious","UK","London (UK)","Eat meat, but try to reduce the amount I eat","This cause deserves significant investment but less than the top priorities","Yes",NA,NA
"8","28dab731c5f652087f13ea9df63b7da9",1989,"Yes","24","Consequentialist/utilitarian","Yes","No","Yes","No","No","No","Yes","Yes","","Giving What We Can","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","","http://survey.effectivealtruismhub.com/?tf~c","Yes","Male","Atheist, agnostic or non-religious","United Kingdom","London","Reducing the amount of meat I eat","Yes","No",3200,"~£19,000","2315","Yes","25",NA,"This cause is near the top priority","I do not think this is a priority, but I am glad some EAs are looking into it","This cause deserves significant investment but less than the top priorities","I do not think this is a priority, but I am glad some EAs are looking into it","I do not think this is a priority, but I am glad some EAs are looking into it","I do not think this is a priority, but I am glad some EAs are looking into it","This cause is near the top priority","This cause is the top priority",NA,"Giving What We Can","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Earning to give",NA,"Yes","Male","Atheist, agnostic or non-religious","UK","London (UK)","Eat meat, but try to reduce the amount I eat","This cause deserves significant investment but less than the top priorities","No","0",NA
"9","2afa2e06cfd9aa8f426455e93f80f3a0",1793,"Yes","24","Consequentialist/utilitarian","Yes","Yes","Yes","Yes","No","No","Yes","Yes","","Giving What We Can","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","None of these","http://survey.effectivealtruismhub.com/","Yes","Female","Christian","United Kingdom","Oxford","Meat-eating","No","Yes",810.86,"18553.18","156","Yes","25",NA,"This cause is the top priority","This cause deserves significant investment but less than the top priorities","I do not think this is a priority, but I am glad some EAs are looking into it","This cause is near the top priority","This cause deserves significant investment but less than the top priorities","This cause deserves significant investment but less than the top priorities","This cause deserves significant investment but less than the top priorities","This cause deserves significant investment but less than the top priorities",NA,"Giving What We Can","No","No","No","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","None of these","http://survey.effectivealtruismhub.com/index.php/237851/lang-en?source=fbsample","Yes","Female",NA,"UK","Oxford (UK)","Eat meat, but try to reduce the amount I eat","This cause deserves significant investment but less than the top priorities","Yes","3400","26000"
"10","3001eedc204372b51554cb4025ce9384",1701,"Yes","25","Consequentialist/utilitarian","No","No","No","No","No","No","No","No","","Other","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Other","http://survey.effectivealtruismhub.com/?tf~c","Yes","Male","Atheist, agnostic or non-religious","Australia","Melbourne","Vegan","No","No",0,"10,000","3176","Yes","26","Anti-realism (non-cognitivism)","This cause is near the top priority","This cause deserves significant investment but less than the top priorities","I do not think this is a priority, but I am glad some EAs are looking into it","This cause is near the top priority","This cause is near the top priority","This cause is near the top priority","I do not think this is a priority, but I am glad some EAs are looking into it","This cause deserves significant investment but less than the top priorities",NA,NA,"Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes",NA,NA,"Yes","Male","Atheist, agnostic or non-religious","Australia","Melbourne (AU)","Vegan","This cause is near the top priority","Yes","0","15000"
