"","ea_id","id.x","Date.submitted.x","Last.page.x","Start.language.x","Date.started.x","Date.last.action.x","referrer_url.x","heard_ea.x","is_ea.x","metaethics.x","cause_import_poverty.x","cause_import_environmentalism.x","cause_import_rationality.x","cause_import_politics.x","cause_import_ai.x","cause_import_non_ai_far_future.x","cause_import_cause_prioritization.x","cause_import_meta.x","cause_import_other.x","veg.x","first_heard_EA.x","involved_80K.x","involved_TLYCS.x","involved_lesswrong.x","involved_GWWC.x","involved_givewell.x","involved_online_ea.x","involved_local_EA.x","donate_80K.x","donate_amf.x","donate_ace.x","donate_cea.x","donate_cfar.x","donate_dtw.x","donate_gd.x","donate_gw.x","donate_gwwc.x","donate_thl.x","donate_leverage.x","donate_miri.x","donate_phc.x","donate_sci.x","donate_vo.x","Would.you.like.to.give.any.additional.information.about.your.donation.plans.above..x","career_path.x","age.x","gender.x","student.x","country.x","city.x","religion.x","Group.time..You.and.EA.x","donate_2013_c","id.y","Date.submitted.y","Last.page.y","Start.language.y","Date.started.y","Date.last.action.y","referrer_url.y","heard_ea.y","is_ea.y","metaethics.y","cause_import_poverty.y","cause_import_environmentalism.y","cause_import_rationality.y","cause_import_politics.y","cause_import_ai.y","cause_import_non_ai_far_future.y","cause_import_cause_prioritization.y","cause_import_meta.y","cause_import_other.y","veg.y","first_heard_EA.y","involved_80K.y","involved_TLYCS.y","involved_lesswrong.y","involved_GWWC.y","involved_givewell.y","involved_online_ea.y","involved_local_EA.y","donate_80K.y","donate_amf.y","donate_ace.y","donate_cea.y","donate_cfar.y","donate_dtw.y","donate_gd.y","donate_gw.y","donate_gwwc.y","donate_thl.y","donate_leverage.y","donate_miri.y","donate_phc.y","donate_sci.y","donate_vo.y","Would.you.like.to.give.any.additional.information.about.your.donation.plans.above..y","career_path.y","age.y","gender.y","student.y","country.y","city.y","religion.y","Group.time..You.and.EA.y","donate_2014_c"
"1","05591e4078dcc5d990d12fec69a9489f",1871,"2014-06-17T13:11:58Z",5,"en","2014-06-17T13:07:38Z","2014-06-17T13:11:58Z","http://survey.effectivealtruismhub.com/?s=14","Yes","Yes","Consequentialist/utilitarian","Yes","No","Yes","Yes","Yes","No","No","Yes","","Near vegetarian","LessWrong","No","No","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","","Research","30","Male","Yes","United States","Los Angeles","Jewish",47.24,3500,"130","2015-11-04 00:03:50","9","en","2015-11-03 23:46:45","2015-11-04 00:03:50","http://survey.effectivealtruismhub.com/index.php/237851/lang-en?source=fbsample","Yes","Yes",NA,"This cause is near the top priority","This cause deserves significant investment but less than the top priorities","This cause is near the top priority","This cause is the top priority","I do not think this is a priority, but I am glad some EAs are looking into it","This cause deserves significant investment but less than the top priorities","This cause is near the top priority","This cause deserves significant investment but less than the top priorities","This cause is near the top priority","Eat meat, but try to reduce the amount I eat","LessWrong","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","I intend to give to charities that more effectively accomplish many goals I currently advocate, even though other EAs mostly don't value them","None of these","31","Male","Yes","USA","Other","Jewish","98.84",10000
"2","064439bfc8714c2ceb0997ebc144bcaa",2830,"2015-04-19T12:59:59Z",5,"en","2015-04-19T12:48:46Z","2015-04-19T12:59:59Z","http://survey.effectivealtruismhub.com/?s=t-eaf-030115","Yes","Yes","Consequentialist/utilitarian","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","I am bad at prioritization","Vegetarian","80,000 Hours","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","Right now I give about a third of my incoming money, but my parents are covering most of my expenses and I am not counting that so it isn't that much","","19","Female","Yes","United States","seattle","Atheist, agnostic or non-religious",150.54,NA,"3177",NA,"7","en","2016-02-15 18:33:03","2016-02-15 18:47:10",NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vegetarian","80,000 Hours","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Mostly determined by givewell and gwwc recommended charities",NA,"20","Female","Yes","USA","Other","Atheist, agnostic or non-religious","97.12",NA
"3","0c4402d3475b347b2ea1ceb979420e99",1649,"2014-06-05T16:18:00Z",5,"en","2014-06-05T15:45:17Z","2014-06-05T16:18:00Z","http://survey.effectivealtruismhub.com/?t~f-c","Yes","Yes","Consequentialist/utilitarian","Yes","No","Yes","No","No","Yes","No","Yes","","Meat-eating","Friend","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","While I'm high-earning I target at least 50%, otherwise at least 20%.","Earning to Give","22","Male","No","United Kingdom","London","Atheist, agnostic or non-religious",68.06,12145.39,"2497","2016-01-15 05:42:48","9","en","2016-01-15 05:30:42","2016-01-15 05:42:48","http://survey.effectivealtruismhub.com/index.php/237851/lang-en?source=LLonE","Yes","Yes",NA,"This cause is near the top priority","I do not think any EA resources should be devoted to this cause","I do not think this is a priority, but I am glad some EAs are looking into it","I do not think any EA resources should be devoted to this cause","I do not think this is a priority, but I am glad some EAs are looking into it","This cause deserves significant investment but less than the top priorities","This cause is near the top priority","This cause is the top priority",NA,"Eat meat, but try to reduce the amount I eat","Personal Contact (e.g. Friend, Colleague, Relative)","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No",NA,"Earning to give","24","Male","N/A","UK","London (UK)","Atheist, agnostic or non-religious","39.5",73213.62
"4","168a9cf8200b84dfb98973d299e053e3",1620,"2014-06-04T16:19:52Z",5,"en","2014-06-04T15:49:09Z","2014-06-04T16:19:52Z","http://survey.effectivealtruismhub.com/?p","Yes","No","Virtue ethics","Yes","No","Yes","Yes","No","No","Yes","Yes","","Vegetarian","Giving What We Can","No","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","","Earning to Give","24","Male","No","United States","Richmond VA","Atheist, agnostic or non-religious",124.47,200,"96","2015-11-03 20:54:25","9","en","2015-11-03 20:41:55","2015-11-03 20:54:25","http://survey.effectivealtruismhub.com/index.php/237851/lang-en?source=fbsample","Yes","Yes","Realism","This cause deserves significant investment but less than the top priorities","This cause deserves significant investment but less than the top priorities","I do not think this is a priority, but I am glad some EAs are looking into it","I do not think this is a priority, but I am glad some EAs are looking into it","This cause deserves significant investment but less than the top priorities","This cause deserves significant investment but less than the top priorities","This cause is the top priority","This cause is near the top priority",NA,"Vegan","LessWrong","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,NA,"25","Male","N/A","USA","Washington DC (US)","Atheist, agnostic or non-religious","44.62",3000
"5","22207d864e30ab2d37c271fa742cb4e4",2646,"2015-01-05T10:10:42Z",5,"en","2015-01-05T09:45:52Z","2015-01-05T10:10:42Z","http://survey.effectivealtruismhub.com/?s=t-eaf-030115","Yes","Yes","Other","Yes","Yes","No","Yes","No","No","Yes","Yes","","Vegan","Friend","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","Other","36","Female","No","Switzerland","Bern","Christian",235.66,NA,"259",NA,"8","en","2015-11-08 16:40:58","2015-11-08 17:16:30","http://survey.effectivealtruismhub.com/index.php/237851/lang-en?source=fbsample","Yes","Yes",NA,"This cause is near the top priority","This cause deserves significant investment but less than the top priorities","This cause is near the top priority","This cause is near the top priority","This cause is near the top priority","This cause deserves significant investment but less than the top priorities","This cause is the top priority","This cause is near the top priority",NA,"Vegan","Facebook","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Mainly to Effective Altruism Foundation Switzerland.",NA,"37","Female","No","Switzerland","Other","Christian","370.24",7120.4
"6","24e3b9260498ae15d9301c2ddf97327b",2979,NA,2,"en","2015-08-10T21:33:28Z","2015-08-10T21:37:23Z","http://survey.effectivealtruismhub.com/","Yes","No","Consequentialist/utilitarian","Yes","Yes","Yes","No","No","No","No","No","","Reducing the amount of meat I eat","LessWrong","No","No","No","No","Yes","No","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","N/A","","","",108.14,NA,"3207","2016-02-16 03:30:45","9","en","2016-02-16 02:52:49","2016-02-16 03:30:44",NA,"Yes","Yes","Anti-realism (error theory)","This cause is near the top priority","This cause deserves significant investment but less than the top priorities","This cause deserves significant investment but less than the top priorities","I do not think this is a priority, but I am glad some EAs are looking into it","I do not think this is a priority, but I am glad some EAs are looking into it","This cause deserves significant investment but less than the top priorities","I do not think this is a priority, but I am glad some EAs are looking into it","I do not think this is a priority, but I am glad some EAs are looking into it","I do not think this is a priority, but I am glad some EAs are looking into it","Meat eater","GiveWell","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Animal welfare will be a small percentage, mostly local shelter groups that I view to be the more efficient ones.","None of these","36","Male","No","USA","New York (US)","Atheist, agnostic or non-religious","184.34",1e+05
"7","282223ca8e254e6e5e2ff3fb4c18a8b0",1801,"2014-06-12T05:29:24Z",5,"en","2014-06-12T05:17:50Z","2014-06-12T05:29:24Z","http://survey.effectivealtruismhub.com/?s=14","Yes","Yes","Other","Yes","No","No","No","No","No","No","Yes","","Meat-eating","Giving What We Can","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","","Research","24","Female","No","United Kingdom","London","Atheist, agnostic or non-religious",64.66,1500,"2009","2015-12-08 04:05:40","9","en","2015-12-08 03:46:47","2015-12-08 04:05:40",NA,"Yes","Yes","Realism","This cause is the top priority","This cause is near the top priority","I do not think this is a priority, but I am glad some EAs are looking into it","This cause is near the top priority","I do not think this is a priority, but I am glad some EAs are looking into it","I do not think this is a priority, but I am glad some EAs are looking into it","This cause is near the top priority","This cause deserves significant investment but less than the top priorities",NA,"Eat meat, but try to reduce the amount I eat","Giving What We Can","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"Research","26","Female","No","UK","London (UK)","Atheist, agnostic or non-religious","38.9",NA
"8","28dab731c5f652087f13ea9df63b7da9",1989,"2014-07-09T14:28:44Z",5,"en","2014-07-09T14:20:33Z","2014-07-09T14:28:44Z","http://survey.effectivealtruismhub.com/?tf~c","Yes","Yes","Consequentialist/utilitarian","Yes","No","Yes","No","No","No","Yes","Yes","","Reducing the amount of meat I eat","Giving What We Can","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","","","24","Male","No","United Kingdom","London","Atheist, agnostic or non-religious",100.66,3200,"2315","2015-12-14 15:06:14","9","en","2015-12-14 14:58:17","2015-12-14 15:06:14",NA,"Yes","Yes",NA,"This cause is near the top priority","I do not think this is a priority, but I am glad some EAs are looking into it","This cause deserves significant investment but less than the top priorities","I do not think this is a priority, but I am glad some EAs are looking into it","I do not think this is a priority, but I am glad some EAs are looking into it","I do not think this is a priority, but I am glad some EAs are looking into it","This cause is near the top priority","This cause is the top priority",NA,"Eat meat, but try to reduce the amount I eat","Giving What We Can","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Earning to give","25","Male","No","UK","London (UK)","Atheist, agnostic or non-religious","39.61",0
"9","2afa2e06cfd9aa8f426455e93f80f3a0",1793,"2014-06-12T02:19:58Z",5,"en","2014-06-12T02:09:07Z","2014-06-12T02:19:58Z","http://survey.effectivealtruismhub.com/","Yes","Yes","Consequentialist/utilitarian","Yes","Yes","Yes","Yes","No","No","Yes","Yes","","Meat-eating","Giving What We Can","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","","None of these","24","Female","No","United Kingdom","Oxford","Christian",106.94,810.86,"156","2015-11-04 04:23:58","9","en","2015-11-04 04:09:27","2015-11-04 04:23:58","http://survey.effectivealtruismhub.com/index.php/237851/lang-en?source=fbsample","Yes","Yes",NA,"This cause is the top priority","This cause deserves significant investment but less than the top priorities","I do not think this is a priority, but I am glad some EAs are looking into it","This cause is near the top priority","This cause deserves significant investment but less than the top priorities","This cause deserves significant investment but less than the top priorities","This cause deserves significant investment but less than the top priorities","This cause deserves significant investment but less than the top priorities",NA,"Eat meat, but try to reduce the amount I eat","Giving What We Can","No","No","No","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","I'm considering animal welfare and political reform, and if GWWC or GiveWell recommended charities in these areas I would probably donate.","None of these","25","Female","No","UK","Oxford (UK)",NA,"52.18",4475.08
"10","3001eedc204372b51554cb4025ce9384",1701,"2014-06-08T01:08:59Z",5,"en","2014-06-08T00:44:08Z","2014-06-08T01:08:59Z","http://survey.effectivealtruismhub.com/?tf~c","Yes","Yes","Consequentialist/utilitarian","No","No","No","No","No","No","No","No","","Vegan","Other","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","I am very uncertain about many things regarding my plans for future donations so even this vague plan is very tentative. However I plan to at least have made some sort of decision by the end of 2014 to make some significant (as a proportion of my wealth at that time) donation then.","Other","25","Male","No","Australia","Melbourne","Atheist, agnostic or non-religious",231.92,0,"3176","2016-02-15 19:28:43","9","en","2016-02-15 18:28:00","2016-02-15 19:28:43",NA,"Yes","Yes","Anti-realism (non-cognitivism)","This cause is near the top priority","This cause deserves significant investment but less than the top priorities","I do not think this is a priority, but I am glad some EAs are looking into it","This cause is near the top priority","This cause is near the top priority","This cause is near the top priority","I do not think this is a priority, but I am glad some EAs are looking into it","This cause deserves significant investment but less than the top priorities",NA,"Vegan",NA,"Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Highly uncertain especially regarding causes and ideal level of savings. Have pledged to give 10% though and am fairly set on giving significantly more than this.",NA,"26","Male","Yes","Australia","Melbourne (AU)","Atheist, agnostic or non-religious","95.81",0
