"","donate_2016_c","donate_RC_2016_c","donate_80K_2016_c","donate_amf_2016_c","donate_ace_2016_c","donate_cfar_2016_c","donate_cea_2016_c","donate_cs_2016_c","donate_dtw_2016_c","donate_ef_2016_c","donate_end_2016_c","donate_faunalytics_2016_c","donate_fri_2016_c","donate_fhi_2016_c","donate_gd_2016_c","donate_gw_2016_c","donate_gf_2016_c","donate_miri_2016_c","donate_mc_2016_c","donate_mfa_2016_c","donate_sci_2016_c","donate_sightsavers_2016_c","donate_sp_2016_c","donate_thl_2016_c","donate_tlycs_2016_c","donate_cause_meta_2016_c","donate_cause_cause_pri_2016_c","donate_cause_poverty_2016_c","donate_cause_animal_welfare_2016_c","donate_cause_far_future_2016_c"
"1",1971900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"2",1200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1e+06,0,0,0
"3",350000,18000,NA,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18000,0,30000,0,0
"4",350000,NA,NA,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,9000,0,0
"5",301000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120000,NA,NA,NA,25000,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,145000
"6",250000,NA,NA,50000,NA,NA,NA,NA,25000,NA,NA,NA,NA,NA,50000,NA,NA,37500,NA,NA,25000,NA,NA,NA,NA,0,0,150000,0,37500
"7",190617,NA,26292,103853.4,NA,NA,27606.6,32865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86763.6,0,103853.4,0,0
"8",161000,NA,NA,80000,NA,NA,80000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80000,0,80000,0,0
"9",160000,NA,NA,80000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,80000,0,0
"10",150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"11",131460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"12",130573.1,NA,NA,253.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127150.31,NA,NA,NA,NA,NA,NA,NA,NA,0,0,253.54,127150.31,0
"13",106000,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12000,NA,NA,7500,NA,NA,NA,7500,NA,0,36000,0,27000,0
"14",103000,NA,NA,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10000,90000,0,0
"15",90000,NA,NA,70000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,90000,0,0
"16",85449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"17",77000,NA,NA,NA,NA,75000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75000,0,0,0,0
"18",76246.8,NA,NA,NA,NA,NA,32865,NA,NA,16432.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49297.5,0,0,0,0
"19",75000,NA,NA,NA,NA,75000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75000,0,0,0,0
"20",68588.84,NA,NA,9453.76,NA,NA,NA,NA,6000,NA,NA,NA,NA,NA,6600,NA,NA,NA,NA,5683.26,8017.8,NA,NA,5665,NA,0,0,30071.56,11348.26,0
